source,year,sector_abbr,control_reg_id,escalation_factor
Planning,2020,ind,12,1.05
Planning,2020,ind,13,1.05
Planning,2020,ind,14,1.05
Planning,2020,ind,15,1.05
Planning,2020,ind,16,1.05
Planning,2020,ind,17,1.05
Planning,2020,ind,18,1.05
Planning,2020,ind,19,1.05
Planning,2020,ind,20,1.05
Planning,2020,ind,21,1.05
Planning,2020,ind,22,1.05
Planning,2020,ind,23,1.05
Planning,2020,ind,24,1.05
Planning,2020,ind,25,1.05
Planning,2020,ind,26,1.05
Planning,2020,ind,27,1.05
Planning,2020,ind,28,1.05
Planning,2020,ind,29,1.05
Planning,2020,ind,30,1.05
Planning,2020,ind,31,1.05
Planning,2020,ind,32,1.05
Planning,2020,ind,33,1.05
Planning,2020,ind,34,1.05
Planning,2020,ind,35,1.05
Planning,2020,ind,36,1.05
Planning,2020,ind,37,1.05
Planning,2020,ind,38,1.05
Planning,2020,ind,39,1.05
Planning,2020,ind,40,1.05
Planning,2020,ind,41,1.05
Planning,2020,ind,42,1.05
Planning,2021,res,1,1.06
Planning,2021,res,2,1.06
Planning,2021,res,3,1.06
Planning,2021,res,4,1.06
Planning,2021,res,5,1.06
Planning,2021,res,6,1.06
Planning,2021,res,7,1.06
Planning,2021,res,8,1.06
Planning,2021,res,9,1.06
Planning,2021,res,10,1.06
Planning,2021,res,11,1.06
Planning,2021,res,12,1.06
Planning,2021,res,13,1.06
Planning,2021,res,14,1.06
Planning,2021,res,15,1.06
Planning,2021,res,16,1.06
Planning,2021,res,17,1.06
Planning,2021,res,18,1.06
Planning,2021,res,19,1.06
Planning,2021,res,20,1.06
Planning,2021,res,21,1.06
Planning,2021,res,22,1.06
Planning,2021,res,23,1.06
Planning,2021,res,24,1.06
Planning,2021,res,25,1.06
Planning,2021,res,26,1.06
Planning,2021,res,27,1.06
Planning,2021,res,28,1.06
Planning,2021,res,29,1.06
Planning,2021,res,30,1.06
Planning,2021,res,31,1.06
Planning,2021,res,32,1.06
Planning,2021,res,33,1.06
Planning,2021,res,34,1.06
Planning,2021,res,35,1.06
Planning,2021,res,36,1.06
Planning,2021,res,37,1.06
Planning,2021,res,38,1.06
Planning,2021,res,39,1.06
Planning,2021,res,40,1.06
Planning,2021,res,41,1.06
Planning,2021,res,42,1.06
Planning,2021,com,1,1.06
Planning,2021,com,2,1.06
Planning,2021,com,3,1.06
Planning,2021,com,4,1.06
Planning,2021,com,5,1.06
Planning,2021,com,6,1.06
Planning,2021,com,7,1.06
Planning,2021,com,8,1.06
Planning,2021,com,9,1.06
Planning,2021,com,10,1.06
Planning,2021,com,11,1.06
Planning,2021,com,12,1.06
Planning,2021,com,13,1.06
Planning,2021,com,14,1.06
Planning,2021,com,15,1.06
Planning,2021,com,16,1.06
Planning,2021,com,17,1.06
Planning,2021,com,18,1.06
Planning,2021,com,19,1.06
Planning,2021,com,20,1.06
Planning,2021,com,21,1.06
Planning,2021,com,22,1.06
Planning,2021,com,23,1.06
Planning,2021,com,24,1.06
Planning,2021,com,25,1.06
Planning,2021,com,26,1.06
Planning,2021,com,27,1.06
Planning,2021,com,28,1.06
Planning,2021,com,29,1.06
Planning,2021,com,30,1.06
Planning,2021,com,31,1.06
Planning,2021,com,32,1.06
Planning,2021,com,33,1.06
Planning,2021,com,34,1.06
Planning,2021,com,35,1.06
Planning,2021,com,36,1.06
Planning,2021,com,37,1.06
Planning,2021,com,38,1.06
Planning,2021,com,39,1.06
Planning,2021,com,40,1.06
Planning,2021,com,41,1.06
Planning,2021,com,42,1.06
Planning,2021,ind,1,1.06
Planning,2021,ind,2,1.06
Planning,2021,ind,3,1.06
Planning,2021,ind,4,1.06
Planning,2021,ind,5,1.06
Planning,2021,ind,6,1.06
Planning,2021,ind,7,1.06
Planning,2021,ind,8,1.06
Planning,2021,ind,9,1.06
Planning,2021,ind,10,1.06
Planning,2021,ind,11,1.06
Planning,2021,ind,12,1.06
Planning,2021,ind,13,1.06
Planning,2021,ind,14,1.06
Planning,2021,ind,15,1.06
Planning,2021,ind,16,1.06
Planning,2021,ind,17,1.06
