Year 1 hourly electric load (kWh),Year 1 hourly sales/purchases without sytem ($),Hourly energy charge TOU period,Hourly demand charge TOU period,Hourly Energy (kWh)
528.139,-38.3006,1,1,0.0144989
1050.63,-76.1919,1,1,0.248564
1099.61,-79.7441,1,1,0.398849
1192.9,-86.5094,1,1,0.527167
1322.12,-95.8805,1,1,0.623343
1314.47,-95.3255,1,1,0.602016
1375.83,-99.7755,1,1,0.483113
1386.32,-100.536,1,1,0.406327
1389.89,-100.795,1,1,0.209495
1436.85,-104.2,1,1,0.0388957
1338.99,-97.1032,1,1,0
1169.15,-84.7871,1,1,0
1115.63,-80.9055,1,1,0
918.467,-66.6072,1,1,0
885.755,-64.235,1,1,0
349.357,-25.3353,1,1,0
299.992,-21.7554,1,1,0
237.929,-17.2546,1,1,0
237.929,-17.2546,1,1,0
237.929,-17.2546,1,1,0
237.929,-17.2546,1,1,0
250.151,-18.141,1,1,0
274.597,-19.9138,1,1,0
429.935,-31.1789,1,1,0
428.482,-31.0736,1,1,0.0261401
697.808,-50.605,1,1,0.229055
759.542,-55.082,1,1,0.392658
756.269,-54.8446,1,1,0.38583
880.853,-63.8795,1,1,0.528647
950.78,-68.9506,1,1,0.611106
959.344,-69.5716,1,1,0.415555
709.596,-51.4599,1,1,0.406015
709.329,-51.4406,1,1,0.237506
759.919,-55.1094,1,1,0.0189315
717.725,-52.0494,1,1,0
347.93,-25.2319,1,1,0
323.485,-23.4592,1,1,0
323.485,-23.4592,1,1,0
299.042,-21.6865,1,1,0
274.596,-19.9137,1,1,0
250.151,-18.141,1,1,0
237.929,-17.2546,1,1,0
237.929,-17.2546,1,1,0
237.929,-17.2546,1,1,0
237.929,-17.2546,1,1,0
250.151,-18.1409,1,1,0
274.596,-19.9137,1,1,0
323.484,-23.4591,1,1,0
322.297,-23.373,1,1,7.29E-05
296.666,-27.1509,2,1,0.0173858
260,-23.7952,2,1,0.161116
211.111,-19.3209,2,1,0.132358
211.112,-19.321,2,1,0.463544
211.112,-19.321,2,1,0.354669
329.069,-30.1164,2,1,0.296636
328.592,-30.0727,2,1,0.214791
285.949,-26.1701,2,1,0.0241138
260,-23.7952,2,1,0.00068475
305.21,-27.9328,2,1,0
347.928,-31.8424,2,1,0
323.484,-29.6052,2,1,0
323.484,-29.6052,2,1,0
299.041,-21.6864,1,1,0
274.595,-19.9136,1,1,0
250.151,-18.1409,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
299.992,-21.7554,1,1,0
349.358,-25.3354,1,1,0
429.877,-31.1747,1,1,0
528.309,-38.313,1,1,0.000150498
1050.79,-96.1687,2,1,0.0464264
1014.11,-92.8113,2,1,0.133501
965.177,-88.333,2,1,0.211648
965.175,-88.3328,2,1,0.214754
915.313,-83.7695,2,1,0.221519
965.103,-88.3262,2,1,0.215542
965.097,-88.3256,2,1,0.160215
965.03,-88.3195,2,1,0.101124
1013.92,-92.7942,2,1,0.00311843
909.64,-83.2502,2,1,0
766.095,-70.113,2,1,0
728.648,-66.6859,2,1,0
579.181,-53.0066,2,1,0
554.762,-40.2313,1,1,0
349.357,-25.3353,1,1,0
299.992,-21.7554,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
299.992,-21.7554,1,1,0
351.091,-25.4611,1,1,0
430.079,-31.1893,1,1,0
519.899,-37.7031,1,1,0.00607983
1050.78,-96.1674,2,1,0.242543
1014.01,-92.8024,2,1,0.408598
965.099,-88.3259,2,1,0.632061
965.545,-88.3666,2,1,0.607656
916.874,-83.9123,2,1,0.549944
967.774,-88.5707,2,1,0.619471
968.043,-88.5953,2,1,0.553048
967.921,-88.5841,2,1,0.365078
1015.33,-92.9234,2,1,0.138582
909.625,-83.2488,2,1,0
753.036,-68.9178,2,1,0
741.627,-67.8737,2,1,0
579.127,-53.0017,2,1,0
554.702,-40.227,1,1,0
