parameter 
	 eLoad(T) 
			 / 
		1523	211.111
		1524	211.112
		1525	211.112
		1526	211.113
		1527	211.112
		1528	211.111
		1529	260
		1530	296.666
		1531	330.841
		1532	323.484
		1533	323.484
		1534	299.041
		1535	274.595
		1536	250.151
		1537	287.77
		1538	287.77
		1539	287.77
		1540	287.77
		1541	299.992
		1542	350.658
		1543	421.794
		1544	502.847
		1545	1050.96
		1546	1014.27
		1547	965.37
		1548	965.371
		1549	915.56
		1550	965.358
		1551	965.356
		1552	965.236
		1553	1014.13
		1554	901.384
		1555	736.25
		1556	728.817
		1557	579.311
		1558	554.905
		1559	349.357
		1560	299.992
		1561	287.77
		1562	287.77
		1563	288.204
		1564	288.637
		1565	301.727
		1566	351.53
		1567	421.698
		1568	502.781
		1569	1050.83
		1570	1014.16
		1571	965.224
		1572	965.192
		1573	915.326
		1574	965.08
		1575	965.034
		1576	1014.29
		1577	1124.67
		1578	974.104
		1579	735.971
		1580	728.65
		1581	579.176
		1582	554.742
		1583	349.357
		1584	299.992
		1585	287.77
		1586	287.77
		1587	287.77
		1588	287.77
		1589	299.992
		1590	349.358
		1591	421.371
		1592	502.601
		1593	1050.66
		1594	1013.95
		1595	1096.37
		1596	1187.36
		1597	1236.19
		1598	1371.68
		1599	1380.26
		1600	1381.02
		1601	1431.24
		1602	1320.43
		1603	1156.71
		1604	1104.61
		1605	851.178
		1606	733.441
		1607	349.357
		1608	299.992
		1609	287.77
		1610	287.77
		1611	287.77
		1612	287.77
		1613	299.992
		1614	349.358
		1615	421.153
		1616	515.49
		1617	1099.39
		1618	1224.01
		1619	1226.19
		1620	1378.42
		1621	1350.67
		1622	1405.74
		1623	1408.14
		1624	1405.72
		1625	1450.71
		1626	1334.9
		1627	1161.91
		1628	1150.81
		1629	955.585
		1630	804.352
		1631	349.357
		1632	299.992
		1633	287.77
		1634	287.77
		1635	287.77
		1636	287.77
		1637	299.992
		1638	349.358
		1639	421.463
		1640	502.43
		1641	1063.6
		1642	1163.05
		1643	1265.7
		1644	1379.98
		1645	1345.32
		1646	1402.81
		1647	1412.18
		1648	1415.51
		1649	1469.72
		1650	1355.03
		1651	1176.65
		1652	1161.38
		1653	1002.48
		1654	958.579
		1655	349.357
		1656	299.992
		1657	237.929
		1658	237.929
		1659	237.929
		1660	237.929
		1661	250.151
		1662	274.597
		1663	413.135
		1664	415.733
		1665	855.86
		1666	995.822
		1667	982.32
		1668	998.642
		1669	1013.05
		1670	1032.95
		1671	802.78
		1672	808.644
		1673	855.724
		1674	811.554
		1675	330.842
		1676	323.485
		1677	323.485
		1678	299.042
		1679	274.595
		1680	250.151
		1681	237.928
		1682	237.928
		1683	237.928
		1684	250.151
		1685	274.596
		1686	323.484
		1687	330.841
		1688	296.666
		1689	462.025
		1690	544.693
		1691	492.92
		1692	605.572
		1693	602.362
		1694	654.357
		1695	617.128
		1696	717.15
		1697	698.198
		1698	696.754
		1699	470.23
		1700	323.484
		1701	299.041
		1702	274.595
		1703	250.151
		1704	237.928
		1705	287.77
		1706	287.77
		1707	287.77
		1708	299.992
		1709	349.358
		1710	820.832
		1711	880.962
		1712	1396.96
		1713	1427.11
		1714	1400.47
		1715	1426.96
		1716	1401.94
		1717	1474.1
		1718	1489.19
		1719	1497.71
		1720	1557.09
		1721	1444.34
		1722	1232.9
		1723	1227.92
		1724	1090.04
		1725	1046.51
		1726	349.357
		1727	299.992
		1728	287.77
		1729	287.77
		1730	287.77
		1731	287.77
		1732	299.992
		1733	349.358
		1734	686.592
		1735	740.714
		1736	1278.67
		1737	1398.37
		1738	1410.43
		1739	1444.19
		1740	1417.08
		1741	1497.18
		1742	1512
		1743	1510.51
		1744	1556.76
		1745	1449.88
		1746	1257.03
		1747	1242.4
		1748	1104.73
		1749	1059.2
		1750	349.357
		1751	299.992
		1752	287.77
		1753	287.77
		1754	287.77
		1755	287.77
		1756	299.992
		1757	349.358
		1758	669.456
		1759	746.355
		1760	1327.08
		1761	1424.15
		1762	1412.73
		1763	1442.89
		1764	1425.71
		1765	1506.55
		1766	1508.14
		1767	1505.15
		1768	1556.97
		1769	1446.51
		1770	1256.07
