scenario,year,sector_abbr,country_abbr,control_reg_id,load_multiplier
High,2022,res,MEX,1,1.295178804
High,2022,res,MEX,2,1.316134098
High,2022,res,MEX,3,1.300381327
High,2022,res,MEX,4,1.381791124
High,2022,res,MEX,5,1.303346694
High,2022,res,MEX,6,1.367739171
High,2022,res,MEX,7,1.347195743
High,2022,res,MEX,8,1.324638512
High,2022,res,MEX,9,1.499071663
Planning,2022,com,MEX,1,1.220075609
Planning,2022,com,MEX,2,1.234497845
Planning,2022,com,MEX,3,1.250215402
Planning,2022,com,MEX,4,1.340194643
Planning,2022,com,MEX,5,1.244159049
Planning,2022,com,MEX,6,1.296864567
Planning,2022,com,MEX,7,1.268568614
Planning,2022,com,MEX,8,1.251565537
Planning,2022,com,MEX,9,1.43966643
Low,2022,com,MEX,1,1.155636789
Low,2022,com,MEX,2,1.186784095
Low,2022,com,MEX,3,1.212538617
Low,2022,com,MEX,4,1.293752558
Low,2022,com,MEX,5,1.202124321
Low,2022,com,MEX,6,1.235682301
Low,2022,com,MEX,7,1.231220904
Low,2022,com,MEX,8,1.204843095
Low,2022,com,MEX,9,1.390771816
High,2022,com,MEX,1,1.295178804
High,2022,com,MEX,2,1.316134098
High,2022,com,MEX,3,1.300381327
High,2022,com,MEX,4,1.381791124
High,2022,com,MEX,5,1.303346694
High,2022,com,MEX,6,1.367739171
High,2022,com,MEX,7,1.347195743
High,2022,com,MEX,8,1.324638512
High,2022,com,MEX,9,1.499071663
Planning,2022,ind,MEX,1,1.220075609
Planning,2022,ind,MEX,2,1.234497845
Planning,2022,ind,MEX,3,1.250215402
Planning,2022,ind,MEX,4,1.340194643
Planning,2022,ind,MEX,5,1.244159049
Planning,2022,ind,MEX,6,1.296864567
Planning,2022,ind,MEX,7,1.268568614
Planning,2022,ind,MEX,8,1.251565537
Planning,2022,ind,MEX,9,1.43966643
Low,2022,ind,MEX,1,1.155636789
Low,2022,ind,MEX,2,1.186784095
Low,2022,ind,MEX,3,1.212538617
Low,2022,ind,MEX,4,1.293752558
Low,2022,ind,MEX,5,1.202124321
Low,2022,ind,MEX,6,1.235682301
Low,2022,ind,MEX,7,1.231220904
Low,2022,ind,MEX,8,1.204843095
Low,2022,ind,MEX,9,1.390771816
